,What is your age?,What is your Gender?,Which region in Kenya do you currently reside in?,"How aware are you about the environmental issues?(1 being the lowest,5 being the highest)",Do you actively engage in environment-friendly practices in your daily life?,I am confident in my ability to distinguish between different eco-labels when shopping for products.,Have you ever encountered multiple eco-labels on similar products?,How often do you find it challenging to understand the environmental implications of a product based on its eco-label?,Are you familiar with the KEBS (Kenya Bureau of Standards) standard mark?,How much trust do you place in products that bear the KEBS label when it comes to quality and safety?,Have you intentionally purchased products with the KEBS label because of its perceived quality and safety standards?,To what extent do you associate the KEBS label with government oversight and regulation?,Do you believe that products with the KEBS label are more reliable and safer than those without it?,How likely are you to choose a product with the KEBS label over a similar product without it?
0,18-24,1.0,5,5,0.0,5,1,5,1,4.0,1,3,1,4
1,18-24,1.0,4,5,1.0,4,0,4,1,,1,5,1,5
2,55-64,0.0,3,5,1.0,1,0,5,1,,1,5,1,5
3,25-34,0.0,5,4,1.0,3,1,4,1,3.0,0,3,0,3
4,35-44,0.0,2,4,1.0,3,1,3,1,3.0,0,4,0,4
5,18-24,1.0,1,4,1.0,1,1,2,1,3.0,0,4,1,2
6,25-34,1.0,5,5,1.0,3,1,5,1,,0,5,0,3
7,18-24,1.0,3,3,0.0,2,0,5,1,5.0,1,4,1,5
8,25-34,1.0,5,3,0.0,4,1,3,1,2.0,1,4,1,5
9,25-34,1.0,5,3,1.0,2,1,5,1,2.0,1,5,1,5
10,18-24,0.0,5,3,1.0,3,1,3,1,2.0,1,3,1,5
11,25-34,1.0,4,3,0.0,1,0,5,1,2.0,0,4,1,5
12,25-34,0.0,3,5,1.0,4,1,3,1,2.0,1,5,1,5
13,18-24,1.0,5,4,0.0,4,0,4,1,2.0,1,3,1,4
14,55-64,1.0,3,5,1.0,4,0,5,1,5.0,1,5,1,5
15,18-24,0.0,5,3,1.0,4,1,3,1,2.0,1,4,1,2
16,25-34,0.0,4,3,0.0,1,1,3,1,3.0,1,4,0,3
17,25-34,1.0,5,5,1.0,3,1,3,1,5.0,1,5,1,5
18,25-34,0.0,5,5,1.0,3,1,5,1,5.0,0,5,1,5
19,18-24,0.0,3,3,0.0,2,0,4,1,3.0,0,2,0,4
20,18-24,1.0,3,3,0.0,3,1,5,1,2.0,1,5,1,5
21,25-34,0.0,4,5,1.0,4,0,3,1,3.0,1,4,1,5
22,18-24,1.0,4,5,1.0,5,1,2,1,2.0,1,5,1,5
23,25-34,1.0,5,4,1.0,4,0,4,1,5.0,1,4,1,5
24,,,3,4,,4,0,4,1,,0,2,0,1
25,25-34,0.0,3,3,1.0,3,0,3,1,2.0,1,2,1,5
26,25-34,1.0,4,5,1.0,3,0,5,1,5.0,1,5,1,5
27,18-24,1.0,5,4,1.0,4,1,3,1,2.0,1,4,1,5
28,35-44,0.0,3,4,1.0,3,1,3,1,3.0,1,5,0,3
29,45-54,0.0,2,5,1.0,4,0,3,1,2.0,1,4,1,3
30,45-54,0.0,3,4,1.0,4,0,3,1,5.0,1,5,1,4
31,45-54,1.0,3,3,1.0,4,0,4,1,5.0,1,4,1,4
32,45-54,0.0,3,3,1.0,3,0,4,1,2.0,1,5,1,2
33,35-44,0.0,3,4,1.0,4,0,3,1,2.0,1,5,1,4
34,25-34,0.0,5,5,1.0,2,0,3,1,3.0,1,5,1,5
35,25-34,1.0,4,2,1.0,2,0,4,1,,0,1,0,3
36,25-34,0.0,5,4,0.0,3,1,5,1,3.0,0,3,0,3
37,18-24,1.0,5,4,1.0,2,1,4,1,3.0,0,2,0,2
38,18-24,1.0,5,4,1.0,3,1,3,1,5.0,1,5,1,5
39,25-34,1.0,5,5,1.0,2,1,5,1,,0,1,0,1
40,25-34,0.0,3,5,1.0,4,1,3,1,2.0,1,3,1,5
41,25-34,1.0,5,4,1.0,3,1,3,1,3.0,1,3,0,3
42,25-34,1.0,5,3,1.0,1,0,3,1,2.0,1,4,1,4
43,25-34,0.0,1,3,0.0,1,1,5,1,3.0,0,2,0,2
44,25-34,0.0,3,4,1.0,4,1,3,1,5.0,1,5,1,5
45,25-34,0.0,4,2,1.0,2,0,3,1,3.0,0,3,0,2
46,25-34,0.0,3,4,1.0,4,1,3,1,5.0,1,5,1,5
47,18-24,0.0,5,4,1.0,2,0,3,1,5.0,1,5,1,5
48,25-34,1.0,5,3,0.0,4,0,4,1,2.0,1,3,1,4
49,25-34,1.0,5,4,1.0,3,1,3,1,3.0,1,2,0,3
50,18-24,1.0,2,5,1.0,5,0,4,1,3.0,1,4,1,4
51,18-24,0.0,5,4,1.0,4,0,5,1,3.0,1,5,0,5
52,18-24,1.0,3,3,0.0,2,0,2,1,2.0,1,3,1,5
53,25-34,0.0,5,5,1.0,4,1,3,1,2.0,1,4,0,4
54,18-24,0.0,5,4,1.0,3,0,3,1,2.0,0,4,0,3
55,18-24,0.0,5,3,1.0,1,0,5,1,2.0,1,5,1,5
56,18-24,1.0,3,4,1.0,4,0,4,1,2.0,1,3,1,5
57,25-34,1.0,1,4,1.0,1,1,3,1,3.0,1,2,0,4
58,25-34,1.0,3,5,1.0,4,1,3,1,3.0,1,3,0,2
59,25-34,0.0,5,5,1.0,5,1,4,1,2.0,1,5,1,5
60,25-34,1.0,3,4,1.0,3,0,4,1,,0,3,0,3
61,18-24,0.0,5,3,1.0,3,0,3,1,2.0,1,4,0,4
62,18-24,1.0,5,3,0.0,1,0,3,1,,0,4,0,2
63,18-24,1.0,1,5,1.0,2,0,2,1,5.0,1,5,1,5
64,18-24,0.0,5,3,1.0,2,1,5,1,2.0,0,2,0,4
65,25-34,0.0,5,4,1.0,1,0,5,1,3.0,0,3,0,3
66,18-24,0.0,5,4,1.0,3,0,3,1,3.0,1,5,1,5
67,18-24,1.0,5,3,1.0,5,1,4,1,5.0,1,5,1,5
68,25-34,0.0,5,4,1.0,2,0,3,1,,0,2,0,3
69,18-24,0.0,5,3,1.0,2,0,5,1,,0,5,1,5
70,18-24,1.0,5,5,1.0,3,1,3,1,5.0,1,5,1,5
71,35-44,0.0,3,5,1.0,5,1,3,1,3.0,1,5,1,5
72,18-24,1.0,5,3,1.0,3,0,4,1,5.0,1,5,1,5
73,18-24,1.0,5,4,1.0,3,1,3,1,5.0,1,5,1,5
74,25-34,0.0,3,4,1.0,4,1,3,1,5.0,1,5,1,5
75,35-44,0.0,3,2,1.0,4,0,3,1,5.0,1,5,1,5
76,35-44,0.0,3,3,0.0,2,0,4,1,2.0,0,4,1,5
77,35-44,0.0,1,4,1.0,4,0,4,1,5.0,1,5,1,5
78,35-44,0.0,5,5,1.0,5,1,4,1,5.0,1,5,1,5
79,25-34,0.0,5,3,1.0,3,1,3,1,3.0,1,2,0,4
80,25-34,0.0,5,5,1.0,2,0,3,1,5.0,1,5,1,5
81,55-64,0.0,2,4,1.0,4,1,5,1,3.0,1,4,0,5
82,18-24,1.0,5,3,1.0,3,1,5,0,2.0,0,1,0,2
83,25-34,0.0,5,3,1.0,3,0,5,1,3.0,0,3,1,3
84,25-34,0.0,5,5,0.0,3,1,4,1,3.0,1,4,0,1
85,55-64,0.0,3,3,1.0,4,1,3,1,5.0,1,4,1,4
86,18-24,1.0,5,3,1.0,3,1,3,1,3.0,1,3,0,4
87,35-44,0.0,3,5,1.0,5,1,4,1,5.0,1,5,1,5
88,18-24,1.0,4,5,1.0,4,0,4,1,5.0,1,5,1,5
89,25-34,0.0,1,4,1.0,3,0,5,1,2.0,1,4,1,5
90,25-34,0.0,5,3,1.0,1,0,5,1,2.0,1,5,1,5
91,25-34,1.0,5,3,1.0,3,0,5,1,2.0,1,5,1,5
92,25-34,1.0,5,3,1.0,4,0,5,1,2.0,1,4,1,4
93,45-54,0.0,3,4,1.0,3,0,3,1,2.0,1,4,1,5
94,25-34,0.0,5,4,0.0,3,0,3,1,2.0,1,4,1,4
95,25-34,0.0,3,4,1.0,5,1,3,1,5.0,1,5,1,5
96,18-24,0.0,5,5,1.0,4,0,4,1,3.0,1,4,1,5
97,,1.0,5,4,1.0,4,0,4,1,5.0,1,5,1,5
98,45-54,0.0,5,5,1.0,5,0,5,1,5.0,1,5,1,5
99,25-34,0.0,5,4,1.0,3,1,3,1,3.0,1,2,0,1
100,35-44,0.0,1,5,1.0,1,0,5,1,5.0,1,5,1,1
101,35-44,0.0,3,4,1.0,3,1,3,1,3.0,1,4,1,5
102,25-34,1.0,5,5,1.0,4,1,4,1,5.0,1,5,1,5
103,25-34,1.0,5,1,1.0,3,0,4,1,3.0,1,3,0,4
104,25-34,1.0,5,5,1.0,3,1,4,1,,1,2,0,5
105,35-44,1.0,2,2,1.0,4,0,5,1,5.0,1,5,1,5
106,18-24,0.0,5,1,0.0,3,0,5,1,,0,3,0,4
107,18-24,1.0,5,3,1.0,2,0,4,1,3.0,1,2,0,4
108,35-44,0.0,5,4,1.0,4,0,5,1,5.0,1,5,1,5
109,18-24,1.0,5,5,1.0,1,1,4,1,2.0,1,4,1,4
110,18-24,1.0,5,4,1.0,3,0,4,1,5.0,1,5,1,5
111,18-24,0.0,5,4,1.0,3,0,3,1,5.0,1,5,1,5
112,18-24,,5,5,1.0,5,1,2,1,5.0,1,4,1,5
113,35-44,1.0,3,3,1.0,2,1,3,1,5.0,1,4,1,5
114,25-34,0.0,3,4,1.0,4,1,4,1,5.0,1,5,1,5
